electricity_consumption,fuel_consumption,transportation_distance,production_level,month,total_emission
9703.19,710.28,2141.66,4501.15,9,15.5225
6032.1,661.07,884.92,5813.47,12,14.3361
18360.63,703.57,2019.96,8771.44,12,23.0442
13886.57,854.18,3739.91,6502.35,12,20.5625
14590.23,628.64,3403.38,2957.7,9,16.1798
14144.11,661.95,1785.32,7269.46,1,19.1615
15360.68,900.4,4473.29,4063.35,9,20.9013
16533.37,577.05,4283.11,1240.97,7,15.8007
9841.02,785.99,1993.69,9640.82,9,20.5409
6320.15,539.19,1982.38,7251.63,8,14.2752
8612.27,558.51,2147.89,6019.98,1,15.0599
11819.0,627.11,2241.93,5405.1,12,17.0867
3000.0,763.36,3845.59,9413.28,8,17.575
16570.9,912.72,3267.86,13300.46,8,27.5561
4413.01,671.24,3764.79,7232.2,11,15.6529
14396.37,320.04,3540.92,3831.84,3,13.4121
11327.72,788.92,4685.98,5844.73,1,18.4674
13140.7,1189.85,1634.68,7190.32,8,24.7717
10112.32,673.91,3218.39,796.08,3,12.8022
12868.83,274.07,408.8,6969.35,3,13.963
10112.49,687.32,1351.35,7203.78,1,17.2768
9775.28,649.34,2717.66,9250.59,11,18.718
8411.05,630.84,3260.03,9010.88,5,18.298
18103.32,857.99,2688.0,6455.7,10,23.664
13467.64,953.22,2176.09,9683.66,7,24.4037
12837.99,800.39,2371.64,10882.06,10,23.4174
8497.75,620.73,4306.39,6264.29,9,16.8775
11060.61,897.65,2377.56,7161.83,12,20.7932
8051.08,321.36,4724.17,2135.22,7,9.7823
10035.35,492.47,3673.42,2862.76,9,12.1376
7163.51,516.98,3303.29,4272.15,8,12.6292
18356.58,643.19,1487.04,5179.68,12,18.7626
8972.38,761.48,3828.76,3678.92,2,15.9111
8499.68,605.84,2256.85,6117.21,1,16.2798
6697.56,450.67,1486.12,5248.47,7,12.1531
8915.18,864.47,3364.13,8663.06,7,20.2691
10020.43,598.2,1273.26,5108.02,8,15.5893
11802.08,672.47,1961.53,940.55,5,14.3588
9418.71,771.23,2788.87,6489.23,3,18.6942
5597.56,658.55,5240.26,6167.34,12,14.5399
5941.7,659.52,2044.39,4217.29,8,14.3681
14718.64,876.7,2295.96,6418.5,6,21.214
11508.85,683.3,3605.58,3726.89,11,16.3884
14595.57,839.82,1437.87,6958.63,3,22.3802
15121.1,769.83,3287.09,12255.73,1,25.7211
12604.32,1093.72,4126.52,2047.11,3,19.9433
7073.08,740.07,2462.2,5012.64,5,15.1122
12758.34,790.35,3928.77,4644.04,3,19.4292
17598.39,892.36,3120.59,5203.5,1,22.1505
10210.29,664.0,1996.25,8545.83,5,18.421
13362.46,509.67,2582.41,7448.5,10,17.5341
11944.89,545.69,2382.27,8152.16,7,17.6126
17489.51,547.81,2703.6,6270.14,7,19.0703
9288.86,440.93,2967.99,3159.17,11,11.7998
16614.13,719.92,3447.02,3636.22,9,18.8286
10499.96,511.51,3359.54,7916.4,10,16.1787
9223.42,692.87,200.0,6592.91,10,17.1237
12439.44,615.09,2692.96,9098.48,12,19.6804
13369.83,640.84,1139.64,6874.5,3,18.6061
19646.12,772.33,2496.7,3479.07,7,19.6844
13278.15,530.78,2663.83,4999.63,1,16.6314
12773.11,790.56,3873.76,7499.07,4,20.8515
18384.57,994.81,2766.87,7833.76,4,25.8885
14404.22,725.48,3085.14,8166.75,5,20.9363
9422.9,477.94,3672.36,3788.39,7,13.1069
17423.88,514.7,4150.53,3437.63,7,16.759
9041.52,595.38,2664.68,5763.45,11,13.9814
9403.01,519.12,2903.6,9512.17,4,17.8188
8605.92,431.94,2811.03,4604.1,7,13.3996
8255.02,683.97,2203.14,7246.44,11,17.1479
13332.69,601.34,1953.97,7246.64,3,17.8615
10968.39,691.74,300.93,7949.78,6,18.7192
3000.0,911.01,1615.67,10028.21,12,19.7141
10926.95,598.0,843.51,9792.38,2,19.008
9928.35,389.21,4180.72,4832.41,10,12.8615
15571.3,562.24,3007.26,1374.84,9,14.4184
9746.97,819.49,2661.47,4639.38,5,17.4628
22157.03,798.89,2010.77,6374.05,6,23.9139
17587.17,764.1,2832.76,5368.22,12,19.9539
10440.36,512.56,1867.22,10726.17,12,18.1707
16598.49,815.42,2991.42,6243.19,12,22.1449
14100.85,864.92,3070.31,7703.54,12,22.7513
12933.86,497.01,1852.48,6699.59,4,15.8639
15210.61,640.85,1831.49,5402.74,11,17.4121
12216.28,1094.49,3858.42,1772.93,10,19.571
12961.4,487.23,2741.85,6019.18,7,16.3856
15293.41,274.88,1940.88,13685.69,12,18.9677
20209.81,954.24,2392.44,3337.75,9,22.2368
13004.78,900.05,1688.35,2025.79,7,17.4292
10184.81,549.47,2726.1,10653.7,1,19.4636
3883.08,625.14,3714.79,7906.79,1,14.5756
19845.21,380.51,2769.56,6631.07,9,18.0063
10947.03,669.57,5400.0,9334.15,11,19.8994
14139.24,906.5,3263.5,4287.55,9,20.6997
19623.63,530.63,3052.95,5954.83,4,19.7222
12910.41,842.96,1800.87,8396.85,9,21.1648
11221.32,752.02,2537.61,11053.82,3,22.3921
17678.69,777.12,1943.08,3512.35,7,19.1433
13842.95,543.45,417.79,9145.69,6,19.2652
14344.42,571.98,3871.69,7078.23,8,18.3689
5907.36,243.71,2237.4,6575.04,11,10.8547
16823.66,525.33,1963.56,6182.22,9,18.0568
13502.35,905.97,3031.63,3015.31,5,20.5247
6513.64,445.55,3363.75,8415.1,1,14.6346
13940.38,478.33,2447.15,4400.78,3,15.3649
3749.9,790.84,2797.14,3716.71,10,13.5953
21367.9,738.61,3620.81,8236.56,12,24.1216
7592.58,801.77,2403.79,8015.01,8,17.4181
18447.17,394.09,3132.57,6381.7,11,17.6435
8748.18,1214.09,974.83,8682.95,6,24.7818
14240.9,382.53,1434.55,9479.65,8,17.6248
8351.49,683.93,3466.09,9208.92,9,18.0447
15988.46,615.1,1377.09,4984.96,4,17.4701
11058.73,388.94,3057.55,8532.44,1,14.8399
13871.12,568.55,2638.3,6686.77,1,18.1997
12060.26,655.13,2399.09,10169.59,10,19.8462
6537.34,507.01,1888.69,5915.42,4,13.3879
14016.43,856.19,3800.27,5380.12,12,20.2986
9987.05,614.44,4702.88,4788.27,7,16.4123
16181.25,354.92,3130.21,6635.36,2,16.4572
11056.56,336.25,3154.74,7273.47,3,14.9355
11692.94,783.36,2049.44,7317.71,1,19.8852
18731.71,322.91,1484.29,7003.1,5,17.6912
21526.55,719.61,2756.29,7743.39,1,23.3907
15144.14,747.82,1728.88,5688.15,8,20.2027
10851.44,431.02,850.13,4193.21,1,11.827
10501.35,845.96,3683.79,3992.4,11,18.0801
8725.29,272.09,3737.38,8442.62,1,13.3045
9499.05,715.22,1855.28,7281.74,2,17.7189
10905.56,641.01,3068.36,1931.57,2,14.349
19857.01,623.82,3902.15,8722.53,12,22.8302
11211.11,390.86,3025.53,10525.0,6,17.7951
7095.79,443.86,1487.53,4553.39,7,11.0665
12166.66,1006.14,2543.82,6973.17,5,23.0429
12712.51,917.33,4259.49,5111.05,1,20.1003
12142.54,813.26,3071.73,7645.11,1,20.2873
15198.76,856.77,3393.05,3518.18,3,19.9328
12276.02,836.12,3175.79,6035.67,2,19.7617
15074.91,578.86,1858.94,8457.02,5,19.755
8878.63,660.47,2117.07,9042.14,12,17.2551
19122.92,326.05,3172.75,7180.94,10,17.6274
13009.92,630.27,3698.56,5420.2,6,17.6015
13600.88,910.35,4009.9,2537.02,7,18.6608
8861.95,504.64,1856.08,4457.64,4,12.3599
13887.31,875.09,3276.43,5120.67,7,20.2082
14604.26,670.15,4105.75,4595.21,11,17.9056
7320.93,345.22,1714.21,6336.97,8,11.7443
5363.63,406.39,4435.42,5413.66,11,10.8437
13174.66,852.25,4602.83,6595.88,1,21.8135
10044.92,771.56,5687.59,8966.04,6,20.5861
13039.69,672.39,3054.03,5265.14,8,17.4969
6835.86,589.71,3060.07,3019.41,5,11.5456
5757.98,696.32,3709.69,4586.07,4,15.4119
12826.76,843.67,3677.58,7542.25,2,21.1939
10600.86,974.69,4039.0,7759.27,6,22.2558
3557.2,985.21,3662.44,7134.0,6,19.3455
17372.4,731.83,2683.33,9191.7,11,22.4866
6769.37,612.18,4144.2,5771.36,1,15.3837
22293.3,682.17,1621.62,10919.98,9,24.3698
9503.93,764.87,2806.44,8081.83,12,19.3969
13606.24,763.97,4520.11,500.0,11,16.4324
18587.8,937.76,1424.73,10341.51,6,26.1642
17917.74,1115.47,2054.78,4435.93,3,24.6326
19944.55,604.84,3538.92,3821.57,4,19.8378
5907.7,1124.29,3233.3,7404.67,12,21.2636
7456.54,907.89,1837.47,2202.18,11,15.2805
12903.99,627.82,2342.19,4600.42,4,16.2129
15358.99,979.68,1501.14,9781.33,3,24.9905
11955.09,1020.84,3878.53,7479.3,10,22.4823
5448.02,548.74,2518.53,8068.15,3,14.6871
13986.31,1031.09,4771.37,4689.11,3,22.827
11222.99,886.52,2889.21,2661.75,4,17.2552
11175.04,1171.08,2558.29,7825.68,7,24.4746
3000.0,556.71,2451.5,8339.59,4,14.3732
15189.94,572.25,2531.38,8235.48,9,19.9913
12580.82,204.13,2921.9,6680.86,1,12.8581
19180.66,775.66,5563.65,3975.74,8,21.1591
11701.97,732.56,2427.25,11806.87,7,22.7301
14265.36,526.14,2463.01,7303.51,2,18.5879
15327.27,631.99,2872.15,5800.06,8,18.2053
5015.35,361.53,3999.3,5810.27,1,11.0492
22466.8,913.66,1236.92,6544.07,11,24.3193
10276.83,542.27,3300.6,8660.1,12,18.4451
13978.27,1330.69,1900.83,6636.14,9,26.8631
14562.33,611.37,3408.6,8174.58,9,19.6336
8740.86,482.88,2256.86,6548.21,2,15.3797
19387.92,559.29,265.49,5941.59,7,18.8653
13063.82,339.37,3206.54,7674.88,10,15.7969
11146.11,756.1,3197.26,7587.56,3,19.6774
12554.03,557.62,2163.01,5809.84,7,16.5233
15057.01,898.88,2097.82,4476.82,12,20.4021
12043.19,589.56,1357.49,6985.98,10,16.8253
15527.72,954.58,3650.41,6380.2,9,23.2578
5260.51,816.64,3770.44,4923.8,4,16.4476
9008.12,656.29,1833.04,4262.48,12,15.1905
3444.8,997.65,2206.07,7144.09,1,18.693
19988.03,859.5,2730.38,7465.22,2,23.922
19935.97,1298.17,5297.95,5371.93,1,29.1046
14506.46,559.92,3399.63,4866.14,12,16.5902
7949.53,666.86,1762.24,4290.41,5,14.7782
21559.51,995.12,3134.16,7079.19,5,26.7012
9582.34,310.42,1285.64,4350.85,11,11.0408
11147.17,939.73,3589.79,11354.61,7,24.8657
12638.13,746.65,4643.1,5256.35,9,19.0536
13806.06,454.59,4647.77,622.01,9,12.2656
14575.21,350.13,3608.38,6130.61,3,16.2173
14735.85,502.05,2158.25,6032.02,3,16.7903
11421.9,147.34,1369.01,8756.95,3,13.3792
14672.4,542.3,1259.77,6862.69,4,17.5927
11243.17,786.96,200.0,4282.18,8,16.5213
14317.21,545.21,3563.24,5541.3,6,17.6017
13989.17,955.43,2686.88,6953.07,8,23.7901
15051.39,1015.19,3800.14,1221.16,1,19.5487
14551.87,930.64,4370.83,9278.83,8,24.9284
10230.27,700.74,2909.9,4288.31,4,16.0863
13834.84,138.57,2960.56,9459.2,11,14.7315
14613.6,495.19,2289.25,7102.67,1,18.2408
6835.5,618.75,2419.31,7648.07,8,15.4673
10903.82,453.35,3601.32,8843.67,4,16.5007
14432.46,619.31,2608.19,7518.2,6,19.2064
18837.17,1004.21,2449.09,7747.64,8,25.8008
15299.6,287.93,2779.85,5821.84,4,14.899
19089.51,1048.57,3774.96,7055.99,3,26.2792
10406.51,844.64,2038.07,4848.76,9,17.909
13000.76,709.01,2726.82,5410.15,3,18.593
15222.94,493.0,3069.81,10718.8,9,19.015
3000.0,457.73,4076.24,4341.15,2,10.2834
18043.21,292.23,2536.77,6554.93,2,16.2493
4556.36,1027.69,2010.39,6460.98,2,19.2183
15987.76,988.27,2267.2,5485.26,6,23.2736
14747.33,340.62,3958.36,7383.12,3,16.0293
3000.0,528.42,5036.64,7556.36,9,14.4113
3000.0,745.29,1354.87,4070.62,4,13.0061
17729.93,584.11,1595.17,6433.12,1,19.0881
16858.89,227.89,2614.32,3710.56,4,13.3599
8476.55,505.29,2922.05,8013.66,1,15.6922
8472.48,1079.23,3665.67,6605.92,5,22.1617
14050.42,520.2,1819.75,6389.36,4,16.8521
11949.02,614.04,1630.58,7715.77,8,17.7438
16217.58,398.06,2951.9,5566.33,8,16.4446
13918.32,779.31,2515.76,8302.25,7,20.9954
18332.12,675.33,3819.39,4018.58,3,19.4414
15880.31,486.76,3336.1,9447.32,1,19.0562
14883.09,362.98,3410.92,4932.9,1,15.5461
10591.5,959.0,2685.07,2298.79,12,18.1907
10298.72,296.78,5391.14,5444.37,11,13.9521
11792.96,760.84,1878.48,5183.47,3,18.5802
19363.77,176.15,3471.89,5427.03,6,14.3964
10374.9,805.59,1403.34,6732.79,7,19.0789
13042.12,863.47,1619.19,8725.04,6,21.7077
3020.79,890.85,2131.92,5759.08,6,16.9142
14703.23,614.53,4592.26,4609.28,6,17.151
21028.79,998.48,3090.28,3608.94,3,23.2057
8265.45,1157.71,2150.47,5123.18,6,20.2976
24697.77,579.24,3211.88,1858.0,8,18.784
12728.96,550.78,2838.66,4532.19,11,15.1276
3000.0,682.82,2258.83,9061.32,11,15.4359
10457.85,544.91,1263.71,4306.27,2,15.0077
17321.75,512.75,4382.4,7646.05,5,20.0094
19997.27,531.92,3030.8,3379.09,1,17.8011
14872.39,1027.47,5191.11,10273.52,12,27.2414
18270.38,819.81,3834.35,10426.5,1,25.5674
7288.86,544.19,3406.45,7559.35,5,15.3047
9278.95,109.87,2321.28,10779.88,12,12.5928
5282.16,310.22,1595.12,7018.32,3,10.9578
9579.75,760.75,2560.5,7967.59,4,19.8996
15047.68,183.26,1563.28,9102.45,3,14.8902
12850.62,714.46,3515.21,6613.35,1,19.3074
15471.4,415.58,4595.92,2629.53,1,14.6467
8253.94,670.2,2513.0,8014.62,12,17.5507
8497.9,664.05,3838.94,5114.72,12,15.8374
12818.44,676.53,2041.85,5285.68,5,17.8437
9589.41,563.23,2467.29,6885.16,6,16.2505
17207.4,556.0,1903.54,7502.45,3,20.2956
9490.32,491.43,453.55,6545.31,12,13.9066
10018.44,756.46,2759.81,7662.18,9,19.0092
13675.36,827.14,2941.3,4574.23,5,18.508
10442.85,381.83,3972.45,6101.78,8,13.036
7060.22,638.64,3674.98,8152.9,1,16.9515
7602.58,693.25,3689.85,10277.42,5,19.7514
14151.06,690.43,1728.56,11090.8,3,23.1128
6565.15,686.69,3305.45,7195.85,12,17.5764
17588.66,561.55,4540.85,8132.02,1,21.2931
9238.4,711.39,3217.85,10757.63,4,20.9917
14464.86,785.97,4811.45,4657.08,5,19.7274
9478.35,681.03,5020.86,7648.31,7,17.735
8339.03,761.31,2504.68,7967.19,1,18.4791
12984.41,867.88,2033.37,9530.08,3,23.4536
16207.13,242.79,1962.39,3584.57,2,13.091
11010.53,857.56,1132.25,4039.37,9,16.9351
11738.09,725.33,2229.76,6249.18,10,18.3876
15229.67,405.44,4128.43,7068.77,6,17.3696
15362.11,826.54,375.56,8782.59,10,22.3709
11846.03,562.37,1658.8,7390.35,3,17.2459
10226.08,592.37,2660.16,5851.75,8,16.1302
12330.62,538.31,1835.1,7157.86,8,17.1656
11236.35,716.53,2219.99,6892.4,2,18.1966
13251.9,477.22,2236.44,10213.54,6,19.1794
7222.92,848.32,2516.71,6581.02,7,17.9961
13108.73,619.45,1997.6,5318.91,2,16.3042
9126.79,569.88,1907.67,7234.1,11,15.6324
15623.55,815.63,3827.74,6656.52,10,20.7228
9310.13,579.7,3954.62,2586.72,2,13.8253
9379.56,858.6,1281.4,6164.0,10,18.5434
13781.6,865.51,200.0,5968.3,1,19.9228
12056.85,356.34,3969.71,4949.09,8,14.1627
21106.61,894.04,1448.32,8581.84,1,25.6744
5482.79,328.35,3034.02,4392.94,9,9.1353
12439.41,907.75,1077.76,7247.92,11,20.7916
16518.6,1096.24,4227.53,5859.93,6,25.5035
9686.74,842.46,5598.03,6447.7,7,19.3294
8357.77,175.46,3001.09,7147.11,10,11.3081
8516.54,883.98,2696.49,3192.58,7,16.9694
5552.16,1144.15,2445.65,6640.82,10,20.9245
17398.82,583.33,3659.98,11464.58,3,24.3077
10681.53,642.37,3424.46,2619.44,2,14.0585
10207.89,388.53,3903.85,6067.5,9,13.3686
3503.61,718.66,2109.29,8783.45,8,15.9273
6265.17,929.22,3174.13,6893.72,12,18.771
17861.56,803.5,2203.29,7782.32,10,23.1748
13212.42,1341.23,1636.51,735.97,7,21.399
16666.0,657.27,2754.88,7575.97,9,20.9902
16159.97,291.25,1785.24,4448.12,4,13.8978
7997.52,687.61,4091.1,6912.72,4,16.7947
21719.39,118.38,1851.89,6132.3,1,14.5181
19798.93,532.72,3199.9,11440.17,8,22.6203
9744.93,1007.36,2136.24,7457.4,12,21.1422
3000.0,721.53,3104.77,5940.97,3,14.5719
10573.87,689.47,2223.6,2727.71,7,15.4288
12953.19,1050.57,1417.07,6478.64,12,22.7829
9729.12,590.47,3332.15,8093.43,2,17.1344
11113.91,927.6,2541.04,6014.73,2,20.4838
8685.37,678.45,3114.58,5036.99,7,16.505
15686.54,733.61,2328.27,4883.05,6,19.9711
12254.53,382.19,1339.27,7430.83,3,15.1754
15806.06,543.95,3991.5,7946.59,9,19.795
16888.81,342.55,3610.43,9330.78,10,19.0205
3302.71,629.05,2176.34,3911.5,6,11.3131
8917.91,735.89,2876.76,7409.75,10,17.7956
9503.88,405.79,3946.22,5920.08,10,14.6379
22285.49,1100.82,2297.26,5987.86,6,26.7755
12596.02,711.18,2467.93,7124.2,1,17.8233
15250.24,662.72,3068.0,7137.61,4,19.9359
4477.23,819.32,2295.0,7416.17,10,17.5033
12572.86,467.64,3742.8,3767.82,6,14.2726
15913.17,685.97,2614.21,4475.43,6,18.7665
15447.86,492.29,1937.56,9617.5,11,19.7926
14493.6,992.91,3469.5,5692.68,12,22.1331
12052.0,417.1,1543.66,6903.83,5,15.065
12246.27,663.9,5016.37,8625.73,1,20.1614
5226.94,722.45,4540.75,7265.92,8,16.7389
8397.87,736.86,3364.85,7457.0,5,18.2646
12923.78,522.13,3272.26,8257.53,12,18.0656
9136.1,452.99,3220.69,1331.67,12,10.302
14755.35,525.31,2262.0,5073.11,12,16.6512
13867.13,766.23,3127.04,7277.79,5,20.9634
17469.48,618.35,1784.55,9391.58,7,21.0016
15833.02,825.17,3354.2,6352.02,4,21.4255
12909.05,754.94,3754.63,4257.15,6,18.1117
14991.92,149.08,2384.11,4318.4,4,11.5543
16020.41,704.45,2145.39,8232.88,3,21.6461
9970.25,1145.1,1466.28,5699.12,7,21.752
10682.68,941.56,4403.75,6183.44,8,20.7366
11612.7,742.84,2232.77,7614.57,4,19.3634
10097.88,416.93,2581.39,500.0,2,9.1418
16062.75,755.06,3130.17,10800.85,12,22.8972
9490.76,812.74,3110.43,4518.53,10,17.3856
17006.61,594.18,3621.22,6756.45,3,19.8871
10532.11,719.68,2382.74,2279.2,1,15.0625
13889.59,982.13,1547.47,5228.16,8,21.2183
12665.66,461.4,1354.97,9062.78,3,17.6754
8096.08,417.17,2162.82,1792.82,12,10.3256
11920.44,802.39,1752.96,8790.26,10,20.9988
13334.57,750.66,2466.02,5570.5,7,19.2548
11742.83,876.34,4238.34,7320.48,10,21.1403
6629.17,775.35,2384.99,7712.31,5,17.7731
18805.72,525.09,2384.58,7215.27,10,19.594
12350.8,745.08,2781.96,4210.61,5,17.1531
8822.79,398.73,2353.81,5361.54,7,12.4982
18483.07,594.93,2725.87,2838.42,9,17.1979
14469.56,760.62,3394.96,7331.13,12,20.8485
7199.32,570.69,3773.23,10114.73,5,17.7813
7822.02,1192.97,3903.53,2003.79,1,18.6812
11110.42,233.72,5062.54,4448.21,10,11.807
13189.23,529.55,3426.3,5781.92,10,16.7715
14491.2,443.69,5257.93,6598.69,1,17.8362
15800.71,495.92,1945.87,8222.11,2,18.9612
14158.29,508.54,5100.41,5849.94,6,17.2044
17386.98,358.19,2381.59,5473.29,9,15.3006
12507.17,815.59,2489.78,8737.2,8,22.0673
8961.44,529.64,2668.14,7722.59,5,16.2433
11986.6,685.99,2559.52,7439.65,1,18.9299
11724.08,554.34,2894.42,6458.79,7,16.4718
3000.0,498.01,2161.97,8461.25,5,13.5416
9754.53,1017.9,3712.96,4690.49,6,20.3815
13256.81,853.05,2191.88,4376.8,7,18.5517
10303.14,239.0,3521.17,7916.03,3,14.4113
9415.16,215.69,4480.5,2462.42,12,9.7518
15645.5,879.37,2407.19,6412.01,10,21.5208
8333.82,535.63,3673.82,5471.92,3,14.1492
14846.49,287.2,3415.08,2966.76,5,11.6488
6669.02,880.06,5278.18,4058.08,6,16.5166
23043.05,687.21,2244.69,5949.35,9,22.5569
11137.26,705.35,3674.58,8578.12,12,19.8407
10706.94,828.1,1011.39,4698.2,5,17.9773
16572.26,361.81,2254.56,8990.78,1,17.26
